Country;Peak;Elevation
Paraguay;Cerro Tres Kandú;842
Grenada;Mount Saint Catherine;840
Mauritius;Piton de la Petite Rivière Noire;828
Micronesia;Ngihneni;780
Bouvet Island;Olavtoppen;780
Burkina Faso;Téna Kourou;747
San Marino;Monte Titano;739
Falkland Islands;Mount Usborne;705
Belgium;Signal de Botrange;694
Mayotte;Mlima Bénara;660
Benin;Mont Sokbaro;659
Cook Islands;Te Manga;653
Senegal;Felo Barkere;638
Isle of Man;Snaefell;621
Sint Eustatius;Mazinga;600
Luxembourg;Kneiff;560
Wallis and Futuna;Mont Puke;524
British Virgin Islands;Mount Sage;521
Uruguay;Cerro Catedral;514
U.S. Virgin Islands;Crown Mountain;474
Moldova;Balanesti;430
Gibraltar;Rock of Gibraltar;426
Saint Martin;Pic Paradis;420
Guam;Mount Lamlam;406
Antigua and Barbuda;Mount Obama;402
Curaçao;Sint Christoffelberg;372
Sint Maarten;Flagstaff-Southwest Ridge;370
Christmas Island;Murray Hill;361
Pitcairn Island;Pawala Valley Ridge;347
Belarus;Hara Dzyarzhynskaya;345
Barbados;Mount Hillaby;340
Netherlands;Vaalserberg;321
Norfolk Island;Mount Bates;319
Estonia;Suur Munamagi;318
Latvia;Gaizinkalns;312
Lithuania;Aukstojas;294
Kuwait;Kuwait High Point;291
Saint Barthelemy;Morne du Vitet;286
Guinea-Bissau;Dongol Rondè;266
Malta;Dingli Cliffs;253
Palau;Mount Ngerchelchauus;242
Bonaire;Brandaris;240
Saint Pierre and Miquelon;Morne de la Grande Montagne;240
Aruba;Jamanota;188
Singapore;Bukit Timah;176
Macau;Alto Coloane;172
Denmark;Møllehøj;171
Monaco;Chemin des Révoires;162
Jersey;Les Platons;143
Bahrain;Jabal ad Dukhan;134
Guernsey;Le Moulin;114
Qatar;Al Galail;103
Kiribati;Banaba High Point;81
Vatican City;Vatican Hill;78
Navassa;Navassa High Point;77
Bermuda;Town Hill;76
Niue;Niue High Point;69
Nauru;Command Ridge;65
Anguilla;Crocus Hill;65
Bahamas;Mount Alvernia;63
Gambia;Sare Firasu Hill;51
Turks and Caicos Islands;Blue Mountain;49
Cayman Islands;The Bluff;43
Cocos Islands;Cocos Islands High Point;11
Marshall Islands;Likiep High Point;10
Coral Sea Islands Territory;Willis Island High Point;9
U.S. Minor Pacific Islands;Baker High Point;8
British Indian Ocean Territory;Diego Garcia High Point;7
Tuvalu;Niulakita High Point;5
Tokelau;Tokelau High Point;5
Maldives;Wilingili Island High Point;3
